Company,TypeName,Inches,touchscreen,ipspanel,retinadisplay,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,Memory,hdd,ssd,flashstorage,hybrid,gpu_brand,gpu_name,OpSys,Weight_kg,Price,Price_VND
4,3,15.6,0,0,0,1920,1080,1, radeon 520,1.6,8,1TB HDD,1024,0,0,0,0, radeon 520,0,2.2,34472,10031352
2,4,15.6,0,0,0,1920,1080,1, geforce gtx 1050 ti,2.8,16,512GB SSD,0,512,0,0,3, geforce gtx 1050 ti,3,1.8,105654,30745314
2,3,15.6,0,0,0,1920,1080,1, geforce 920mx ,2.5,8,256GB SSD,0,256,0,0,3, geforce 920mx ,3,2,40972,11922852
0,3,17.3,0,1,0,1920,1080,1, geforce mx150,1.6,8,256GB SSD,0,256,0,0,3, geforce mx150,3,3,45501,13240791
7,3,15.6,0,0,0,1366,768,1, radeon 520,2,4,500GB HDD,500,0,0,0,0, radeon 520,3,1.86,23373,6801543
0,3,15.6,0,1,0,1366,768,1, geforce mx130,1.6,12,1TB HDD,1024,0,0,0,3, geforce mx130,3,2.2,36976,10760016
0,3,15.6,0,1,0,1920,1080,1, geforce mx150,1.8,8,256GB SSD,0,256,0,0,3, geforce mx150,3,2.2,44808,13039128
2,3,15.6,0,0,0,1366,768,0, radeon r5 m420,3,4,1TB HDD,1024,0,0,0,0, radeon r5 m420,3,2.03,21472,6248352
4,3,14,0,0,0,1920,1080,1, geforce 930mx,2.8,8,256GB SSD,0,256,0,0,3, geforce 930mx,3,1.64,62817,18279747
11,1,17.3,0,0,0,1920,1080,1, geforce gtx 1050 ti,2.8,8,256GB SSD,0,256,0,0,3, geforce gtx 1050 ti,3,2.7,71875,20915625
7,3,14,0,0,0,1366,768,1, hd graphics 400,1.6,4,32GB SSD,0,32,0,0,2, hd graphics 400,3,1.44,12201,3550491
7,4,13.3,0,1,0,1920,1080,1, geforce mx150,2.7,8,256GB SSD,0,256,0,0,3, geforce mx150,3,1.38,59620,17349420
14,1,17.3,1,0,0,3840,2160,1, geforce gtx 1080,2.9,32,1TB SSD,0,1024,0,0,3, geforce gtx 1080,3,3.49,324955,94561905
7,3,13.3,0,1,0,1920,1080,1, uhd graphics 620,1.6,4,500GB HDD,500,0,0,0,2, uhd graphics 620,3,1.49,40173,11690343
4,3,15.6,0,0,0,1920,1080,1, radeon r5 m430,2,4,1TB HDD,1024,0,0,0,0, radeon r5 m430,0,2.25,22804,6635964
0,3,17.3,0,1,0,1920,1080,1, geforce mx150,1.6,4,256GB SSD,0,256,0,0,3, geforce mx150,3,3,42890,12480990
2,3,15.6,0,0,0,1366,768,0, radeon r5 m420,3,4,1TB HDD,1024,0,0,0,0, radeon r5 m420,3,1.68,24988,7271508
0,3,15.6,0,0,0,1366,768,1, hd graphics 620,2.5,4,500GB HDD,500,0,0,0,2, hd graphics 620,0,2.4,23539,6849849
13,4,13.5,1,0,0,2256,1504,1, hd graphics 620,2.5,8,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.25,71395,20775945
10,0,13.9,1,1,0,1920,1080,1, uhd graphics 620,1.8,8,512GB SSD,0,512,0,0,2, uhd graphics 620,3,1.37,98515,28667865
1,4,15.4,0,1,1,2880,1800,1, radeon pro 560,2.9,16,512GB SSD,0,512,0,0,0, radeon pro 560,1,1.83,152274,44311734
10,3,15.6,0,0,0,1920,1080,1, hd graphics 620,2.5,4,1TB HDD,1024,0,0,0,2, hd graphics 620,3,1.9,29251,8512041
4,3,15.6,0,0,0,1920,1080,1, radeon r7 m445,2.7,8,256GB SSD,0,256,0,0,0, radeon r7 m445,0,2.33,41498,12075918
7,3,13.3,0,0,0,1920,1080,1, uhd graphics 620,1.6,8,512GB SSD,0,512,0,0,2, uhd graphics 620,3,1.49,51096,14868936
10,3,15.6,0,0,0,1920,1080,1, geforce 940mx,2.4,8,1TB HDD,1024,0,0,0,3, geforce 940mx,3,2.2,26587,7736817
4,3,15.6,0,0,0,1920,1080,1, radeon 520,1.6,8,256GB SSD,0,256,0,0,0, radeon 520,3,2.13,38788,11287308
7,3,14,0,1,0,1920,1080,1, geforce 940mx,2.5,6,256GB SSD,0,256,0,0,3, geforce 940mx,3,1.58,35112,10217592
2,3,17.3,0,0,0,1920,1080,1, geforce gtx 950m,2.5,8,256GB SSD +  500GB HDD,500,256,0,0,3, geforce gtx 950m,3,2.69,47472,13814352
7,1,17.3,0,1,0,1920,1080,1, geforce gtx 1050,2.8,16,256GB SSD +  1TB HDD,1024,256,0,0,3, geforce gtx 1050,3,3.35,73473,21380643
10,1,15.6,0,1,0,1920,1080,1, geforce gtx 1050 ti,2.8,16,256GB SSD,0,256,0,0,3, geforce gtx 1050 ti,3,2.5,57489,16729299
7,4,15.6,0,0,0,1920,1080,0, radeon 520,3,4,256GB SSD,0,256,0,0,0, radeon 520,3,1.91,26587,7736817
2,1,17.3,0,0,0,1920,1080,1, geforce gtx 1050 ti,2.8,12,1TB HDD,1024,0,0,0,3, geforce gtx 1050 ti,0,3,50563,14713833
10,1,15.6,0,1,0,1920,1080,1, geforce gtx 1050,2.5,8,256GB SSD,0,256,0,0,3, geforce gtx 1050,3,2.5,44169,12853179
13,4,13.5,1,0,0,2256,1504,1, hd graphics 620,2.5,4,128GB SSD,0,128,0,0,2, hd graphics 620,3,1.25,58022,16884402
0,3,17.3,0,1,0,1920,1080,1, geforce mx130,2.7,4,256GB SSD,0,256,0,0,3, geforce mx130,3,3,37403,10884273
4,5,15.6,0,0,0,1920,1080,1, quadro m620,3,8,64GB Flash Storage +  1TB HDD,1024,0,64,0,3, quadro m620,3,2.23,106187,30900417
4,4,13.3,0,1,0,1920,1080,1, radeon 530,1.8,64,256GB SSD,0,256,0,0,0, radeon 530,3,1.4,50882,14806662
7,3,15.6,0,0,0,1920,1080,1, firepro w4190m ,2.7,8,1TB HDD,1024,0,0,0,0, firepro w4190m ,3,1.9,67612,19675092
7,3,17.3,0,0,0,1920,1080,1, geforce 930mx ,1.8,8,256GB SSD,0,256,0,0,3, geforce 930mx ,3,2.5,55678,16202298
4,1,15.6,0,1,0,3840,2160,1, geforce gtx 1060,2.8,16,512GB SSD +  1TB HDD,1024,512,0,0,3, geforce gtx 1060,3,2.65,98302,28605882
4,3,15.6,0,0,0,1920,1080,1, radeon 530,1.8,8,256GB SSD,0,256,0,0,0, radeon 530,3,2.2,46354,13489014
10,3,15.6,0,0,0,1920,1080,1, hd graphics 620,2.5,6,256GB SSD,0,256,0,0,2, hd graphics 620,3,2.2,30849,8977059
4,4,13.3,0,0,0,1920,1080,1, uhd graphics 620,1.6,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,1.41,50563,14713833
11,1,15.6,0,0,0,1920,1080,1, geforce gtx 1050,2.5,8,256GB SSD,0,256,0,0,3, geforce gtx 1050,3,2.2,54758,15934578
8,4,13,0,1,0,2160,1440,1, hd graphics 620,2.5,8,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.05,71875,20915625
2,3,15.6,0,0,0,1366,768,1, hd graphics 620,2.4,4,1TB HDD,1024,0,0,0,2, hd graphics 620,3,2.37,21258,6186078
11,1,17.3,0,0,0,1920,1080,1, geforce gtx 1050,2.5,8,128GB SSD +  1TB HDD,1024,128,0,0,3, geforce gtx 1050,3,2.7,58342,16977522
7,3,15.6,0,0,0,1366,768,0, radeon r4 graphics,2.5,8,128GB SSD,0,128,0,0,0, radeon r4 graphics,3,1.91,23758,6913578
4,4,13.3,1,1,0,1920,1080,1, uhd graphics 620,1.6,8,128GB SSD,0,128,0,0,2, uhd graphics 620,3,1.22,52161,15178851
7,3,15.6,0,0,0,1366,768,0, radeon r2,1.5,4,500GB HDD,500,0,0,0,0, radeon r2,3,2.1,17582,5116362
